THE FIRST 114 LINES OF DATA HAVE SOME FORMATTING ISSUES.  SHE DIDN’T USE MILITARY TIME (BUT THE OPEN HOURS ARE 10AM TO 8PM).  ALSO THERE IS SOME VARIATION ON THE DAY OF WEEK SPELLINGS,,,,,,,,,
,,,,,,,,,
Tip amount,Time,Day,Culture,Married,Age,,,Culture Codes,
3,15,Mon,W,NM,11,,,,
3,15,Mon,M,NM,10,,,,
5,16,Mon,V,M,45,,,,
4,16,Mon,W,NM,16,,,,
5,12,Tues,W,M,40,,,,
3,13,Tues,W,M,30,,,,
10,14,Tues,W,M,35,,,,
20,15,Tues,P,NM,30,,,,
5,10,Sat,A,M,40,,,,
5,11,Sat,W,M,40,,,,
5,12,Sat,W,NM,10,,,,
10,1,Sat,W,M,40,,,,
1,13,Sat,I,NM,10,,,,
5,14,Sat,W,M,36,,,,
3,15,Sat,W,NM,8,,,,
5,16,Fri,I,NM,35,,,,
